dataset,dataset_label,source_dataset,family,formula_name,site_adjustment_flag,n_subjects,n_transition,n_censored,overall_risk_5y,overall_risk_10y,cure_fraction,susceptible_fraction,susceptible_weighted_subject_latency_median_year,cohort_uncured_median_latency_year,latency_scale,loglik,aic,optimizer_method,convergence_code,warnings_text,fit_ok,delta_aic_vs_best,best_family_by_aic
PNU,PNU,PNU,lognormal,base,FALSE,54,12,42,0.36229879210045135,0.38785952961157233,0.589794736007876,0.4102052639921239,0.9204766996725665,0.5530336126753516,1.4893532795549724,-26.67863585407113,67.35727170814226,BFGS,0,NA,TRUE,0.44041704365082524,exponential
PNU,PNU,PNU,weibull,base,FALSE,54,12,42,0.37399728442560326,0.3843141783962515,0.6145562906318408,0.3854437093681592,0.7503418874894923,0.6268146080925197,1.104580105800471,-27.391620994630475,68.78324198926094,BFGS,0,NA,TRUE,1.866387324769505,exponential
PNU,PNU,PNU,loglogistic,base,FALSE,54,12,42,0.3549207106869382,0.3764874139035241,0.6020589783543224,0.3979410216456776,0.8118858445834254,0.5537954608434194,0.8768594894552568,-27.144505204877923,68.28901040975585,BFGS,0,NA,TRUE,1.3721557452644078,exponential
PNU,PNU,PNU,exponential,base,FALSE,54,12,42,0.3649367117416779,0.37006536805433526,0.629693451404147,0.370306548595853,0.6985246576174581,0.5886203308050779,1,-27.458427332245716,66.91685466449144,BFGS,0,NA,TRUE,0,exponential
SNU,SNU,SNU,lognormal,base,FALSE,208,38,170,0.22024562483236138,0.30467401289347307,0.024038460386452083,0.9759615396135478,36.738586236887905,35.828642057371674,2.6251966466434604,-146.1825854180179,306.3651708360358,Nelder-Mead,0,NA,TRUE,0.23895641620975994,loglogistic
SNU,SNU,SNU,weibull,base,FALSE,208,38,170,0.22282239506618,0.3184361606784511,0.41289328125370617,0.5871067187462938,10.435139926881645,6.117643240526137,1.2469086766360193,-146.50500720653955,307.0100144130791,BFGS,0,NA,TRUE,0.8837999932530352,loglogistic
SNU,SNU,SNU,loglogistic,base,FALSE,208,38,170,0.22271385663453186,0.32535028483593015,0.03424677625757486,0.9657532237424251,24.971948831795903,23.844078623008055,1.3048769818455357,-146.06310720991303,306.12621441982606,BFGS,0,NA,TRUE,0,loglogistic
SNU,SNU,SNU,exponential,base,FALSE,208,38,170,0.2271515739892002,0.3114094678600733,0.6004179736882623,0.3995820263117376,4.725841507538129,3.3261660645919897,1,-147.1826104439719,306.3652208879438,BFGS,0,NA,TRUE,0.2390064681177364,loglogistic
merged_no_site,Merged,merged,lognormal,base,FALSE,262,50,212,0.25255635218401284,0.33490282765589385,0.08425166712580456,0.9157483328741954,28.903766290503484,24.123121024525467,2.693349734123182,-178.3274113189362,370.6548226378724,Nelder-Mead,0,NA,TRUE,0,lognormal
merged_no_site,Merged,merged,weibull,base,FALSE,262,50,212,0.2582312547091087,0.3408106916716977,0.5289939626727596,0.47100603732724045,4.699042405239327,3.939650602084503,1.3348485220986186,-178.48076995099,370.96153990198,BFGS,0,NA,TRUE,0.3067172641075899,lognormal
merged_no_site,Merged,merged,loglogistic,base,FALSE,262,50,212,0.25630983379926475,0.3507243441018838,0.14212403392480832,0.8578759660751917,20.006266173981437,14.493216840066639,1.34645553840618,-178.52470379935173,371.04940759870345,BFGS,0,NA,TRUE,0.39458496083102546,lognormal
merged_no_site,Merged,merged,exponential,base,FALSE,262,50,212,0.2657234988478447,0.31662949354611186,0.6670435920234734,0.3329564079765266,2.191483769257416,2.1071021850041225,1,-180.24451116182524,372.4890223236505,BFGS,0,NA,TRUE,1.83419968577806,lognormal
merged_site_adjusted,Merged (site-adjusted),merged,lognormal,site_added,TRUE,262,50,212,0.26147261109490927,0.34491780313639736,0.17284712617074563,0.8271528738292544,20.74834411524679,15.614955799582788,2.4432361993560154,-174.4626337451602,366.9252674903204,BFGS,0,NA,TRUE,0,lognormal
merged_site_adjusted,Merged (site-adjusted),merged,weibull,site_added,TRUE,262,50,212,0.2776340389001832,0.387452710584825,0.2172544761672735,0.7827455238327266,12.864834157382553,9.081925976584927,1.3654647209874418,-174.76542700679548,367.53085401359095,BFGS,0,NA,TRUE,0.6055865232705742,lognormal
merged_site_adjusted,Merged (site-adjusted),merged,loglogistic,site_added,TRUE,262,50,212,0.2685846582219232,0.3648033733226752,0.18408600701829056,0.8159139929817094,15.979597281751307,12.208280868784128,1.2662830531040845,-174.78557152658797,367.57114305317594,BFGS,0,NA,TRUE,0.645875562855565,lognormal
merged_site_adjusted,Merged (site-adjusted),merged,exponential,site_added,TRUE,262,50,212,0.25621819428906084,0.3250507700785071,0.6315961362223919,0.3684038637776081,3.028775556731145,2.4337509107835924,1,-177.1721581962235,370.344316392447,BFGS,0,NA,TRUE,3.419048902126633,lognormal
