dataset,summary_domain,group_value,n,proportion,age_mean,age_sd,age_median,age_q1,age_q3,age_min,age_max
PNU,age_by_sex,Female,26,0.48148148148148145,25.897133018938543,6.172936301655273,24.23396212291339,20.823287671232876,28.841095890410955,19.378082191780823,41.38630136986301
PNU,age_by_sex,Male,28,0.5185185185185185,23.9150532546277,4.109917566736388,22.783561643835615,20.34794520547945,27.274719290366047,18.60821917808219,32.05464480874317
PNU,age_by_site,PNU,54,1,24.869387955962548,5.2515242343485475,23.491780821917807,20.633561643835616,28.16239052324276,18.60821917808219,41.38630136986301
PNU,age_overall,overall,54,1,24.869387955962548,5.2515242343485475,23.491780821917807,20.633561643835616,28.16239052324276,18.60821917808219,41.38630136986301
PNU,sex_distribution,Female,26,0.48148148148148145,NA,NA,NA,NA,NA,NA,NA
PNU,sex_distribution,Male,28,0.5185185185185185,NA,NA,NA,NA,NA,NA,NA
PNU,site_distribution,PNU,54,1,NA,NA,NA,NA,NA,NA,NA
SNU,age_by_sex,Female,66,0.3173076923076923,20.664803888877547,3.9383517101541226,19.716438356164385,18.12191780821918,22.423287671232877,15.046575342465754,32.92602739726027
SNU,age_by_sex,Male,142,0.6826923076923077,21.46435636048494,4.207314901970992,20.038356164383565,18.973287671232878,23.7958904109589,15.452054794520548,35.293150684931504
SNU,age_by_site,SNU,208,1,21.210652210840287,4.131244157487492,19.947945205479456,18.63972602739726,23.29657534246575,15.046575342465754,35.293150684931504
SNU,age_overall,overall,208,1,21.210652210840287,4.131244157487492,19.947945205479456,18.63972602739726,23.29657534246575,15.046575342465754,35.293150684931504
SNU,sex_distribution,Female,66,0.3173076923076923,NA,NA,NA,NA,NA,NA,NA
SNU,sex_distribution,Male,142,0.6826923076923077,NA,NA,NA,NA,NA,NA,NA
SNU,site_distribution,SNU,208,1,NA,NA,NA,NA,NA,NA,NA
merged,age_by_sex,Female,92,0.3511450381679389,22.14350559954696,5.211424531032574,20.987671232876714,18.87134328916835,24.302054794520547,15.046575342465754,41.38630136986301
merged,age_by_sex,Male,170,0.648854961832061,21.868000554814333,4.277675278940637,20.371232876712327,19.221232876712328,24.208904109589042,15.452054794520548,35.293150684931504
merged,age_by_site,PNU,54,0.20610687022900764,24.869387955962548,5.2515242343485475,23.491780821917807,20.633561643835616,28.16239052324276,18.60821917808219,41.38630136986301
merged,age_by_site,SNU,208,0.7938931297709924,21.210652210840287,4.131244157487492,19.947945205479456,18.63972602739726,23.29657534246575,15.046575342465754,35.293150684931504
merged,age_overall,overall,262,1,21.964742784262434,4.618985698156825,20.5,19.076712328767123,24.28904109589041,15.046575342465754,41.38630136986301
merged,sex_distribution,Female,92,0.3511450381679389,NA,NA,NA,NA,NA,NA,NA
merged,sex_distribution,Male,170,0.648854961832061,NA,NA,NA,NA,NA,NA,NA
merged,site_distribution,PNU,54,0.20610687022900764,NA,NA,NA,NA,NA,NA,NA
merged,site_distribution,SNU,208,0.7938931297709924,NA,NA,NA,NA,NA,NA,NA
