file_name,object_name,description,file_path
stage5_model_registry.csv,model_registry,"Model-level fit registry for all Stage 5 non-cure models, including unified anchor-horizon-risk time-range score metadata",/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage5_non-cure block/attachments/stage5_model_registry.csv
stage5_subject_horizon_risk_long.csv,subject_horizon_risk_long,"Subject-by-horizon predicted survival and risk long table, including anchor-horizon risk exported as the common time-range discrimination score",/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage5_non-cure block/attachments/stage5_subject_horizon_risk_long.csv
stage5_model_performance_long.csv,model_performance_long,"Long-format performance table containing horizon summaries, horizon-support-status labels, support-gated threshold summaries, anchor-window concordance metrics based on anchor-horizon risk, restricted IBS metrics, and benchmark references",/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage5_non-cure block/attachments/stage5_model_performance_long.csv
stage5_calibration_bins_long.csv,calibration_bins_long,Grouped calibration plot source-of-truth table with horizon support-status flags and unsupported bins suppressed to NA for observed risk,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage5_non-cure block/attachments/stage5_calibration_bins_long.csv
stage5_calibration_diagnostics_long.csv,calibration_diagnostics_long,"Model-by-horizon calibration fit diagnostics including support, projection-status, convergence, boundary, failure-reason, and suppression flags",/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage5_non-cure block/attachments/stage5_calibration_diagnostics_long.csv
stage5_qc_summary.csv,qc_summary,"Automated Stage 5 QC summary for code-output consistency checks, including support-gated observed IPCW quantities and unified anchor-risk score enforcement",/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage5_non-cure block/attachments/stage5_qc_summary.csv
stage5_summary_plots.pdf,summary_plots_pdf,Stage 5 summary figure PDF generated from exported data frames,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage5_non-cure block/attachments/stage5_summary_plots.pdf
stage5_fitted_models.rds,fitted_models,Fitted non-cure model objects as an RDS list,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage5_non-cure block/attachments/stage5_fitted_models.rds
stage5_results_bundle.rds,stage5_results_bundle,"Reusable Stage 5 results bundle with exported tables, validation metadata, and support-gating policy metadata",/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage5_non-cure block/attachments/stage5_results_bundle.rds
stage5_export_manifest.csv,export_manifest,Manifest of all Stage 5 exported files,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage5_non-cure block/attachments/stage5_export_manifest.csv
