file_name,file_path,description,exists,size_bytes
stage7_fit_registry.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_fit_registry.csv,Patched fit registry with Stage 6 carry-forward flags.,TRUE,60476
stage7_coefficients.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_coefficients.csv,Patched coefficient table with Stage 6 carry-forward flags.,TRUE,170107
stage7_subject_predictions.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_subject_predictions.csv,Patched subject-by-horizon predictions with Stage 6 carry-forward flags.,TRUE,75992091
stage7_risk_summary.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_risk_summary.csv,Patched risk summary with Stage 6 carry-forward flags.,TRUE,459133
stage7_delta_risk.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_delta_risk.csv,Patched delta-risk table with Stage 6 carry-forward flags.,TRUE,131644
stage7_threshold_metrics.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_threshold_metrics.csv,Patched threshold metrics with dataset-aware suppression for PNU years 3-10.,TRUE,2164732
stage7_ipcw_registry.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_ipcw_registry.csv,Rebuilt IPCW registry including the dataset key.,TRUE,173625
stage7_bootstrap_model_qc.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_bootstrap_model_qc.csv,Patched bootstrap model QC with Stage 6 carry-forward flags.,TRUE,26997
stage7_stage6_carry_forward_registry.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_stage6_carry_forward_registry.csv,Source-of-truth Stage 6 carry-forward table used for the joins.,TRUE,198
stage7_visual_summary.pdf,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_visual_summary.pdf,Regenerated Stage 7 visual summary based on patched tables.,TRUE,219082
stage7_replicate_overview.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_replicate_overview.csv,Bootstrap replicate overview.,TRUE,68254
stage7_replicate_failure_events.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_replicate_failure_events.csv,Bootstrap failure events by replicate and model row.,TRUE,77754
stage7_replicate_failure_pattern_summary.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_replicate_failure_pattern_summary.csv,Bootstrap failure-pattern frequency table.,TRUE,3546
stage7_replicate_failure_by_model.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_replicate_failure_by_model.csv,Bootstrap failure counts aggregated by model.,TRUE,988
stage7_metric_distribution_summary.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_metric_distribution_summary.csv,Across-replicate summary statistics for each metric cell.,TRUE,25973537
stage7_top_variable_metric_cells.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_top_variable_metric_cells.csv,Top variable metric cells selected from the summary table.,TRUE,9043
stage7_top_variable_metric_values_long.csv,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_top_variable_metric_values_long.csv,Replicate-level raw values for the top variable metric cells.,TRUE,6422301
stage7_bootstrap_extraction_plots.pdf,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_bootstrap_extraction_plots.pdf,Bootstrap extraction diagnostic PDF.,TRUE,182698
stage7_bootstrap_merged_results.rds,/Users/ido/Library/CloudStorage/Dropbox/Data Analysis/STAGE7/stage7_run__2026-03-24_shard50_auto20_v1__00009fe20000/stage7_bootstrap_merged_results.rds,Saved merged bootstrap results RDS reused without rerunning bootstrap.,TRUE,1935161128
